Subregion,Region,Lat,Long,Day,Count
Fujian,China,26.0789,117.9874,2020-01-25,18
Guangxi,China,23.8298,108.7881,2020-01-25,23
Shaanxi,China,35.1917,108.8701,2020-01-25,15
Yunnan,China,24.974,101.487,2020-01-25,11
Hainan,China,19.1959,109.7453,2020-01-25,19
Guizhou,China,26.8154,106.8748,2020-01-25,4
Tianjin,China,39.3054,117.323,2020-01-25,10
Shanxi,China,37.5777,112.2922,2020-01-25,6
Gansu,China,37.8099,101.0583,2020-01-25,4
Hong Kong,China,22.3,114.2,2020-01-25,5
Liaoning,China,41.2956,122.6085,2020-01-25,17
Jilin,China,43.6661,126.1923,2020-01-25,4
Xinjiang,China,41.1129,85.2401,2020-01-25,3
Inner Mongolia,China,44.0935,113.9448,2020-01-25,7
Ningxia,China,37.2692,106.1655,2020-01-25,3
All,Taiwan*,23.7,121,2020-01-25,3
All,Vietnam,16,108,2020-01-25,2
Qinghai,China,35.7452,95.9956,2020-01-25,1
Macau,China,22.1667,113.55,2020-01-25,2
All,Thailand,15,101,2020-01-26,8
All,Japan,36,138,2020-01-26,4
All,Singapore,1.2833,103.8333,2020-01-26,4
All,Nepal,28.1667,84.25,2020-01-26,1
All,Malaysia,2.5,112.5,2020-01-26,4
New South Wales,Australia,-33.8688,151.2093,2020-01-26,3
Victoria,Australia,-37.8136,144.9631,2020-01-26,1
Ontario,Canada,51.2538,-85.3232,2020-01-26,1
Hubei,China,30.9756,112.2707,2020-01-26,1058
All,"Korea, South",36,128,2020-01-26,3
France,France,46.2276,2.2137,2020-01-26,3
Guangdong,China,23.3417,113.4244,2020-01-26,111
Henan,China,33.882,113.614,2020-01-26,83
Zhejiang,China,29.1832,120.0934,2020-01-26,104
Hunan,China,27.6104,111.7088,2020-01-26,69
Anhui,China,31.8257,117.2264,2020-01-26,60
Jiangxi,China,27.614,115.7221,2020-01-26,36
Shandong,China,36.3427,118.1498,2020-01-26,46
Jiangsu,China,32.9711,119.455,2020-01-26,33
Chongqing,China,30.0572,107.874,2020-01-26,75
Sichuan,China,30.6171,102.7103,2020-01-26,44
Heilongjiang,China,47.862,127.7615,2020-01-26,15
Beijing,China,40.1824,116.4142,2020-01-26,68
Shanghai,China,31.202,121.4491,2020-01-26,40
Hebei,China,39.549,116.1306,2020-01-26,13
Fujian,China,26.0789,117.9874,2020-01-26,35
Guangxi,China,23.8298,108.7881,2020-01-26,36
Shaanxi,China,35.1917,108.8701,2020-01-26,22
Yunnan,China,24.974,101.487,2020-01-26,16
Hainan,China,19.1959,109.7453,2020-01-26,22
Guizhou,China,26.8154,106.8748,2020-01-26,5
Tianjin,China,39.3054,117.323,2020-01-26,14
Shanxi,China,37.5777,112.2922,2020-01-26,9
Gansu,China,37.8099,101.0583,2020-01-26,7
Hong Kong,China,22.3,114.2,2020-01-26,8
Liaoning,China,41.2956,122.6085,2020-01-26,21
Jilin,China,43.6661,126.1923,2020-01-26,4
Xinjiang,China,41.1129,85.2401,2020-01-26,4
Inner Mongolia,China,44.0935,113.9448,2020-01-26,7
Ningxia,China,37.2692,106.1655,2020-01-26,4
All,Taiwan*,23.7,121,2020-01-26,4
All,Vietnam,16,108,2020-01-26,2
Qinghai,China,35.7452,95.9956,2020-01-26,1
Macau,China,22.1667,113.55,2020-01-26,5
All,Thailand,15,101,2020-01-27,8
All,Japan,36,138,2020-01-27,4
All,Singapore,1.2833,103.8333,2020-01-27,5
All,Nepal,28.1667,84.25,2020-01-27,1
All,Malaysia,2.5,112.5,2020-01-27,4
New South Wales,Australia,-33.8688,151.2093,2020-01-27,4
Victoria,Australia,-37.8136,144.9631,2020-01-27,1
All,Cambodia,11.55,104.9167,2020-01-27,1
All,Sri Lanka,7,81,2020-01-27,1
All,Germany,51,9,2020-01-27,1
Ontario,Canada,51.2538,-85.3232,2020-01-27,1
Hubei,China,30.9756,112.2707,2020-01-27,1423
All,"Korea, South",36,128,2020-01-27,4
France,France,46.2276,2.2137,2020-01-27,3
Guangdong,China,23.3417,113.4244,2020-01-27,151
Henan,China,33.882,113.614,2020-01-27,128
Zhejiang,China,29.1832,120.0934,2020-01-27,128
Hunan,China,27.6104,111.7088,2020-01-27,100
Anhui,China,31.8257,117.2264,2020-01-27,70
Jiangxi,China,27.614,115.7221,2020-01-27,72
Shandong,China,36.3427,118.1498,2020-01-27,75
Jiangsu,China,32.9711,119.455,2020-01-27,47
Chongqing,China,30.0572,107.874,2020-01-27,110
Sichuan,China,30.6171,102.7103,2020-01-27,69
Heilongjiang,China,47.862,127.7615,2020-01-27,21
Beijing,China,40.1824,116.4142,2020-01-27,80
Shanghai,China,31.202,121.4491,2020-01-27,53
Hebei,China,39.549,116.1306,2020-01-27,18
Fujian,China,26.0789,117.9874,2020-01-27,59
Guangxi,China,23.8298,108.7881,2020-01-27,46
Shaanxi,China,35.1917,108.8701,2020-01-27,35
Yunnan,China,24.974,101.487,2020-01-27,26
Hainan,China,19.1959,109.7453,2020-01-27,33
Guizhou,China,26.8154,106.8748,2020-01-27,7
Tianjin,China,39.3054,117.323,2020-01-27,23
Shanxi,China,37.5777,112.2922,2020-01-27,13
Gansu,China,37.8099,101.0583,2020-01-27,14
Hong Kong,China,22.3,114.2,2020-01-27,8
Liaoning,China,41.2956,122.6085,2020-01-27,27
Jilin,China,43.6661,126.1923,2020-01-27,6
Xinjiang,China,41.1129,85.2401,2020-01-27,5
Inner Mongolia,China,44.0935,113.9448,2020-01-27,11
Ningxia,China,37.2692,106.1655,2020-01-27,7
All,Taiwan*,23.7,121,2020-01-27,5
All,Vietnam,16,108,2020-01-27,2
Qinghai,China,35.7452,95.9956,2020-01-27,6
Macau,China,22.1667,113.55,2020-01-27,6
All,Thailand,15,101,2020-01-28,14
All,Japan,36,138,2020-01-28,7
All,Singapore,1.2833,103.8333,2020-01-28,7
All,Nepal,28.1667,84.25,2020-01-28,1
All,Malaysia,2.5,112.5,2020-01-28,4
British Columbia,Canada,49.2827,-123.1207,2020-01-28,1
New South Wales,Australia,-33.8688,151.2093,2020-01-28,4
Victoria,Australia,-37.8136,144.9631,2020-01-28,1
All,Cambodia,11.55,104.9167,2020-01-28,1
All,Sri Lanka,7,81,2020-01-28,1
All,Germany,51,9,2020-01-28,4
Ontario,Canada,51.2538,-85.3232,2020-01-28,1
Hubei,China,30.9756,112.2707,2020-01-28,3554
All,"Korea, South",36,128,2020-01-28,4
France,France,46.2276,2.2137,2020-01-28,4
Guangdong,China,23.3417,113.4244,2020-01-28,207
Henan,China,33.882,113.614,2020-01-28,168
Zhejiang,China,29.1832,120.0934,2020-01-28,173
Hunan,China,27.6104,111.7088,2020-01-28,143
Anhui,China,31.8257,117.2264,2020-01-28,106
Jiangxi,China,27.614,115.7221,2020-01-28,109
Shandong,China,36.3427,118.1498,2020-01-28,95
Jiangsu,China,32.9711,119.455,2020-01-28,70
Chongqing,China,30.0572,107.874,2020-01-28,132
Sichuan,China,30.6171,102.7103,2020-01-28,90
Heilongjiang,China,47.862,127.7615,2020-01-28,33
Beijing,China,40.1824,116.4142,2020-01-28,91
Shanghai,China,31.202,121.4491,2020-01-28,66
Hebei,China,39.549,116.1306,2020-01-28,33
Fujian,China,26.0789,117.9874,2020-01-28,80
Guangxi,China,23.8298,108.7881,2020-01-28,51
Shaanxi,China,35.1917,108.8701,2020-01-28,46
Yunnan,China,24.974,101.487,2020-01-28,44
Hainan,China,19.1959,109.7453,2020-01-28,40
Guizhou,China,26.8154,106.8748,2020-01-28,9
Tianjin,China,39.3054,117.323,2020-01-28,24
Shanxi,China,37.5777,112.2922,2020-01-28,27
Gansu,China,37.8099,101.0583,2020-01-28,19
Hong Kong,China,22.3,114.2,2020-01-28,8
Liaoning,China,41.2956,122.6085,2020-01-28,34
Jilin,China,43.6661,126.1923,2020-01-28,8
Xinjiang,China,41.1129,85.2401,2020-01-28,10
Inner Mongolia,China,44.0935,113.9448,2020-01-28,15
Ningxia,China,37.2692,106.1655,2020-01-28,11
All,Taiwan*,23.7,121,2020-01-28,8
All,Vietnam,16,108,2020-01-28,2
Qinghai,China,35.7452,95.9956,2020-01-28,6
Macau,China,22.1667,113.55,2020-01-28,7
All,Thailand,15,101,2020-01-29,14
All,Japan,36,138,2020-01-29,7
All,Singapore,1.2833,103.8333,2020-01-29,7
All,Nepal,28.1667,84.25,2020-01-29,1
All,Malaysia,2.5,112.5,2020-01-29,7
British Columbia,Canada,49.2827,-123.1207,2020-01-29,1
New South Wales,Australia,-33.8688,151.2093,2020-01-29,4
Victoria,Australia,-37.8136,144.9631,2020-01-29,1
Queensland,Australia,-28.0167,153.4,2020-01-29,1
All,Cambodia,11.55,104.9167,2020-01-29,1
All,Sri Lanka,7,81,2020-01-29,1
All,Germany,51,9,2020-01-29,4
All,Finland,64,26,2020-01-29,1
All,United Arab Emirates,24,54,2020-01-29,4
Ontario,Canada,51.2538,-85.3232,2020-01-29,1
Hubei,China,30.9756,112.2707,2020-01-29,3554
All,"Korea, South",36,128,2020-01-29,4
France,France,46.2276,2.2137,2020-01-29,5
Guangdong,China,23.3417,113.4244,2020-01-29,277
Henan,China,33.882,113.614,2020-01-29,206
Zhejiang,China,29.1832,120.0934,2020-01-29,296
Hunan,China,27.6104,111.7088,2020-01-29,221
Anhui,China,31.8257,117.2264,2020-01-29,152
Jiangxi,China,27.614,115.7221,2020-01-29,109
Shandong,China,36.3427,118.1498,2020-01-29,130
Jiangsu,China,32.9711,119.455,2020-01-29,99
Chongqing,China,30.0572,107.874,2020-01-29,147
Sichuan,China,30.6171,102.7103,2020-01-29,108
Heilongjiang,China,47.862,127.7615,2020-01-29,38
Beijing,China,40.1824,116.4142,2020-01-29,111
Shanghai,China,31.202,121.4491,2020-01-29,96
Hebei,China,39.549,116.1306,2020-01-29,48
Fujian,China,26.0789,117.9874,2020-01-29,84
Guangxi,China,23.8298,108.7881,2020-01-29,58
Shaanxi,China,35.1917,108.8701,2020-01-29,56
Yunnan,China,24.974,101.487,2020-01-29,55
Hainan,China,19.1959,109.7453,2020-01-29,43
Guizhou,China,26.8154,106.8748,2020-01-29,9
Tianjin,China,39.3054,117.323,2020-01-29,27
Shanxi,China,37.5777,112.2922,2020-01-29,27
Gansu,China,37.8099,101.0583,2020-01-29,24
Hong Kong,China,22.3,114.2,2020-01-29,10
Liaoning,China,41.2956,122.6085,2020-01-29,39
Jilin,China,43.6661,126.1923,2020-01-29,9
Xinjiang,China,41.1129,85.2401,2020-01-29,13
Inner Mongolia,China,44.0935,113.9448,2020-01-29,16
Ningxia,China,37.2692,106.1655,2020-01-29,12
All,Taiwan*,23.7,121,2020-01-29,8
All,Vietnam,16,108,2020-01-29,2
Qinghai,China,35.7452,95.9956,2020-01-29,6
Macau,China,22.1667,113.55,2020-01-29,7
All,Thailand,15,101,2020-01-30,14
All,Japan,36,138,2020-01-30,11
All,Singapore,1.2833,103.8333,2020-01-30,10
All,Nepal,28.1667,84.25,2020-01-30,1
All,Malaysia,2.5,112.5,2020-01-30,8
British Columbia,Canada,49.2827,-123.1207,2020-01-30,1
New South Wales,Australia,-33.8688,151.2093,2020-01-30,4
Victoria,Australia,-37.8136,144.9631,2020-01-30,2
Queensland,Australia,-28.0167,153.4,2020-01-30,3
All,Cambodia,11.55,104.9167,2020-01-30,1
All,Sri Lanka,7,81,2020-01-30,1
All,Germany,51,9,2020-01-30,4
All,Finland,64,26,2020-01-30,1
All,United Arab Emirates,24,54,2020-01-30,4
All,Philippines,13,122,2020-01-30,1
All,India,21,78,2020-01-30,1
Ontario,Canada,51.2538,-85.3232,2020-01-30,1
Hubei,China,30.9756,112.2707,2020-01-30,4903
All,"Korea, South",36,128,2020-01-30,4
France,France,46.2276,2.2137,2020-01-30,5
Guangdong,China,23.3417,113.4244,2020-01-30,354
Henan,China,33.882,113.614,2020-01-30,278
Zhejiang,China,29.1832,120.0934,2020-01-30,428
Hunan,China,27.6104,111.7088,2020-01-30,277
Anhui,China,31.8257,117.2264,2020-01-30,200
Jiangxi,China,27.614,115.7221,2020-01-30,162
Shandong,China,36.3427,118.1498,2020-01-30,158
Jiangsu,China,32.9711,119.455,2020-01-30,129
Chongqing,China,30.0572,107.874,2020-01-30,182
Sichuan,China,30.6171,102.7103,2020-01-30,142
Heilongjiang,China,47.862,127.7615,2020-01-30,44
Beijing,China,40.1824,116.4142,2020-01-30,114
Shanghai,China,31.202,121.4491,2020-01-30,112
Hebei,China,39.549,116.1306,2020-01-30,65
Fujian,China,26.0789,117.9874,2020-01-30,101
Guangxi,China,23.8298,108.7881,2020-01-30,78
Shaanxi,China,35.1917,108.8701,2020-01-30,63
Yunnan,China,24.974,101.487,2020-01-30,70
Hainan,China,19.1959,109.7453,2020-01-30,46
Guizhou,China,26.8154,106.8748,2020-01-30,12
Tianjin,China,39.3054,117.323,2020-01-30,31
Shanxi,China,37.5777,112.2922,2020-01-30,35
Gansu,China,37.8099,101.0583,2020-01-30,26
Hong Kong,China,22.3,114.2,2020-01-30,10
Liaoning,China,41.2956,122.6085,2020-01-30,41
Jilin,China,43.6661,126.1923,2020-01-30,14
Xinjiang,China,41.1129,85.2401,2020-01-30,14
Inner Mongolia,China,44.0935,113.9448,2020-01-30,19
Ningxia,China,37.2692,106.1655,2020-01-30,17
All,Taiwan*,23.7,121,2020-01-30,9
All,Vietnam,16,108,2020-01-30,2
Qinghai,China,35.7452,95.9956,2020-01-30,8
Macau,China,22.1667,113.55,2020-01-30,7
Tibet,China,31.6927,88.0924,2020-01-30,1
All,Thailand,15,101,2020-01-31,19
All,Japan,36,138,2020-01-31,15
All,Singapore,1.2833,103.8333,2020-01-31,13
All,Nepal,28.1667,84.25,2020-01-31,1
All,Malaysia,2.5,112.5,2020-01-31,8
British Columbia,Canada,49.2827,-123.1207,2020-01-31,1
New South Wales,Australia,-33.8688,151.2093,2020-01-31,4
Victoria,Australia,-37.8136,144.9631,2020-01-31,3
Queensland,Australia,-28.0167,153.4,2020-01-31,2
All,Cambodia,11.55,104.9167,2020-01-31,1
All,Sri Lanka,7,81,2020-01-31,1
All,Germany,51,9,2020-01-31,5
All,Finland,64,26,2020-01-31,1
All,United Arab Emirates,24,54,2020-01-31,4
All,Philippines,13,122,2020-01-31,1
All,India,21,78,2020-01-31,1
All,Italy,43,12,2020-01-31,2
All,Sweden,63,16,2020-01-31,1
Ontario,Canada,51.2538,-85.3232,2020-01-31,3
Hubei,China,30.9756,112.2707,2020-01-31,5806
All,"Korea, South",36,128,2020-01-31,11
France,France,46.2276,2.2137,2020-01-31,5
Guangdong,China,23.3417,113.4244,2020-01-31,436
Henan,China,33.882,113.614,2020-01-31,352
Zhejiang,China,29.1832,120.0934,2020-01-31,538
Hunan,China,27.6104,111.7088,2020-01-31,332
Anhui,China,31.8257,117.2264,2020-01-31,237
Jiangxi,China,27.614,115.7221,2020-01-31,240
Shandong,China,36.3427,118.1498,2020-01-31,184
Jiangsu,China,32.9711,119.455,2020-01-31,168
Chongqing,China,30.0572,107.874,2020-01-31,211
Sichuan,China,30.6171,102.7103,2020-01-31,177
Heilongjiang,China,47.862,127.7615,2020-01-31,59
Beijing,China,40.1824,116.4142,2020-01-31,139
Shanghai,China,31.202,121.4491,2020-01-31,135
Hebei,China,39.549,116.1306,2020-01-31,82
Fujian,China,26.0789,117.9874,2020-01-31,120
Guangxi,China,23.8298,108.7881,2020-01-31,87
Shaanxi,China,35.1917,108.8701,2020-01-31,87
Yunnan,China,24.974,101.487,2020-01-31,83
Hainan,China,19.1959,109.7453,2020-01-31,52
Guizhou,China,26.8154,106.8748,2020-01-31,29
Tianjin,China,39.3054,117.323,2020-01-31,32
Shanxi,China,37.5777,112.2922,2020-01-31,39
Gansu,China,37.8099,101.0583,2020-01-31,29
Hong Kong,China,22.3,114.2,2020-01-31,12
Liaoning,China,41.2956,122.6085,2020-01-31,48
Jilin,China,43.6661,126.1923,2020-01-31,14
Xinjiang,China,41.1129,85.2401,2020-01-31,17
Inner Mongolia,China,44.0935,113.9448,2020-01-31,20
Ningxia,China,37.2692,106.1655,2020-01-31,21
All,Taiwan*,23.7,121,2020-01-31,10
All,Vietnam,16,108,2020-01-31,2
All,Russia,60,90,2020-01-31,2
Qinghai,China,35.7452,95.9956,2020-01-31,8
Macau,China,22.1667,113.55,2020-01-31,7
Tibet,China,31.6927,88.0924,2020-01-31,1
United Kingdom,United Kingdom,55.3781,-3.436,2020-01-31,2
All,Thailand,15,101,2020-02-01,19
All,Japan,36,138,2020-02-01,20
All,Singapore,1.2833,103.8333,2020-02-01,16
All,Nepal,28.1667,84.25,2020-02-01,1
All,Malaysia,2.5,112.5,2020-02-01,8
British Columbia,Canada,49.2827,-123.1207,2020-02-01,1
New South Wales,Australia,-33.8688,151.2093,2020-02-01,4
Victoria,Australia,-37.8136,144.9631,2020-02-01,4
Queensland,Australia,-28.0167,153.4,2020-02-01,3
All,Cambodia,11.55,104.9167,2020-02-01,1
All,Sri Lanka,7,81,2020-02-01,1
All,Germany,51,9,2020-02-01,8
All,Finland,64,26,2020-02-01,1
All,United Arab Emirates,24,54,2020-02-01,4
All,Philippines,13,122,2020-02-01,1
All,India,21,78,2020-02-01,1
All,Italy,43,12,2020-02-01,2
All,Sweden,63,16,2020-02-01,1
All,Spain,40,-4,2020-02-01,1
South Australia,Australia,-34.9285,138.6007,2020-02-01,1
Ontario,Canada,51.2538,-85.3232,2020-02-01,3
Hubei,China,30.9756,112.2707,2020-02-01,7153
All,"Korea, South",36,128,2020-02-01,12
France,France,46.2276,2.2137,2020-02-01,6
Guangdong,China,23.3417,113.4244,2020-02-01,535
Henan,China,33.882,113.614,2020-02-01,422
Zhejiang,China,29.1832,120.0934,2020-02-01,599
Hunan,China,27.6104,111.7088,2020-02-01,389
Anhui,China,31.8257,117.2264,2020-02-01,297
Jiangxi,China,27.614,115.7221,2020-02-01,286
Shandong,China,36.3427,118.1498,2020-02-01,206
Jiangsu,China,32.9711,119.455,2020-02-01,202
Chongqing,China,30.0572,107.874,2020-02-01,247
Sichuan,China,30.6171,102.7103,2020-02-01,207
Heilongjiang,China,47.862,127.7615,2020-02-01,80
Beijing,China,40.1824,116.4142,2020-02-01,168
Shanghai,China,31.202,121.4491,2020-02-01,169
Hebei,China,39.549,116.1306,2020-02-01,96
Fujian,China,26.0789,117.9874,2020-02-01,144
Guangxi,China,23.8298,108.7881,2020-02-01,100
Shaanxi,China,35.1917,108.8701,2020-02-01,101
Yunnan,China,24.974,101.487,2020-02-01,93
Hainan,China,19.1959,109.7453,2020-02-01,62
Guizhou,China,26.8154,106.8748,2020-02-01,29
Tianjin,China,39.3054,117.323,2020-02-01,41
Shanxi,China,37.5777,112.2922,2020-02-01,47
Gansu,China,37.8099,101.0583,2020-02-01,40
Hong Kong,China,22.3,114.2,2020-02-01,13
Liaoning,China,41.2956,122.6085,2020-02-01,64
Jilin,China,43.6661,126.1923,2020-02-01,17
Xinjiang,China,41.1129,85.2401,2020-02-01,18
Inner Mongolia,China,44.0935,113.9448,2020-02-01,23
Ningxia,China,37.2692,106.1655,2020-02-01,26
All,Taiwan*,23.7,121,2020-02-01,10
All,Vietnam,16,108,2020-02-01,6
All,Russia,60,90,2020-02-01,2
Qinghai,China,35.7452,95.9956,2020-02-01,9
Macau,China,22.1667,113.55,2020-02-01,7
Tibet,China,31.6927,88.0924,2020-02-01,1
United Kingdom,United Kingdom,55.3781,-3.436,2020-02-01,2
All,Thailand,15,101,2020-02-02,19
All,Japan,36,138,2020-02-02,20
All,Singapore,1.2833,103.8333,2020-02-02,18
All,Nepal,28.1667,84.25,2020-02-02,1
All,Malaysia,2.5,112.5,2020-02-02,8
British Columbia,Canada,49.2827,-123.1207,2020-02-02,1
New South Wales,Australia,-33.8688,151.2093,2020-02-02,4
Victoria,Australia,-37.8136,144.9631,2020-02-02,4
Queensland,Australia,-28.0167,153.4,2020-02-02,2
All,Cambodia,11.55,104.9167,2020-02-02,1
All,Sri Lanka,7,81,2020-02-02,1
All,Germany,51,9,2020-02-02,10
All,Finland,64,26,2020-02-02,1
All,United Arab Emirates,24,54,2020-02-02,5
All,Philippines,13,122,2020-02-02,2
All,India,21,78,2020-02-02,2
All,Italy,43,12,2020-02-02,2
All,Sweden,63,16,2020-02-02,1
All,Spain,40,-4,2020-02-02,1
South Australia,Australia,-34.9285,138.6007,2020-02-02,2
Ontario,Canada,51.2538,-85.3232,2020-02-02,3
Hubei,China,30.9756,112.2707,2020-02-02,11177
All,"Korea, South",36,128,2020-02-02,15
France,France,46.2276,2.2137,2020-02-02,6
Guangdong,China,23.3417,113.4244,2020-02-02,632
Henan,China,33.882,113.614,2020-02-02,493
Zhejiang,China,29.1832,120.0934,2020-02-02,661
Hunan,China,27.6104,111.7088,2020-02-02,463
Anhui,China,31.8257,117.2264,2020-02-02,340
Jiangxi,China,27.614,115.7221,2020-02-02,333
Shandong,China,36.3427,118.1498,2020-02-02,230
Jiangsu,China,32.9711,119.455,2020-02-02,236
Chongqing,China,30.0572,107.874,2020-02-02,300
Sichuan,China,30.6171,102.7103,2020-02-02,231
Heilongjiang,China,47.862,127.7615,2020-02-02,95
Beijing,China,40.1824,116.4142,2020-02-02,191
Shanghai,China,31.202,121.4491,2020-02-02,182
Hebei,China,39.549,116.1306,2020-02-02,104
Fujian,China,26.0789,117.9874,2020-02-02,159
Guangxi,China,23.8298,108.7881,2020-02-02,111
Shaanxi,China,35.1917,108.8701,2020-02-02,116
Yunnan,China,24.974,101.487,2020-02-02,105
